Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,LP_Title,LP_Images
Adolfo Carabelli,Orquesta Adolfo Carabelli,1927-11-02,El Aeroplano,,Vals,Instrumental,,78rpm,BAVE 1511-2,79949-B,Pedro Datta,,,27-31 Other Orchestras,,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Orquesta Adolfo Carabelli,1928-05-14,Remembrance,,Vals,Instrumental,,78rpm,44080-2,80850-A,M. De Michaelsen,,,27-31 Other Orchestras,,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Adolfo Carabelli Jazz Band,1928-07-06,Serenata de Cupido,,Vals,Instrumental,Víctor,78rpm,44209-2,80914-B,Oscar Cattedra,,,27-31 Other Orchestras,,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Adolfo Carabelli Jazz Band,1928-08-27,Nelly,,Vals,Instrumental,Víctor,78rpm,44274-2,80947-A,Héctor Bates,,,27-31 Other Orchestras,,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Adolfo Carabelli Jazz Band,1928-09-05,En un Pueblito Español,,Vals,Instrumental,Víctor,78rpm,44282-2,80951-A,Mabel Ferreyra,,,27-31 Other Orchestras,,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Adolfo Carabelli Jazz Band,1929-06-27,Cuando Florezca el Jazmin,,Vals,Instrumental,Víctor,78rpm,44648-1,47139-B,Guillermo Patron,,,27-31 Other Orchestras,,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Adolfo Carabelli Jazz Band,1929-09-19,Irma,,Vals,Instrumental,Víctor,78rpm,44764-1,47187-A,Cleto Minocchio,,,27-31 Other Orchestras,,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Orquesta Típica Porteña,1930-09-16,El Cuatrero,El Tigre,Tango,Instrumental,,78rpm,,,Agustín Bardi,,,27-31 Other Orchestras,,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Orquesta Típica Porteña,1930-09-16,El Flete,,Tango,Ernesto Famá,,78rpm,,,Vicente Greco,Gerónimo Gradito,,27-31 Other Orchestras,,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Orquesta Adolfo Carabelli,1931-01-07,Manon,,Vals,Carlos Lafuente,Víctor,78rpm,60562-1,47570-A,Alfredo Marengo,,,27-31 Other Orchestras,,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Orquesta Típica Porteña,1931-02-04,Confesión,,Tango,Teófilo Ibáñez,Víctor,78rpm,,,Enrique Discépolo,"Enrique Discépolo, Luis Amadori",,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Orquesta Típica Porteña,1931-02-04,Hoy Me Han Dicho,,Tango,Teófilo Ibáñez,Víctor,78rpm,,,Pascual Storti,,,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Orquesta Típica Porteña,1931-03-10,Pampa,,Tango,Instrumental,Víctor,78rpm,,,Francisco Pracánico,,,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Orquesta Típica Porteña,1931-03-10,Qué Suegra,,Tango,Roberto Díaz,Víctor,78rpm,,,Francisco Bohígas,Francisco Bohígas,,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Orquesta Típica Porteña,1931-04-07,Estrellita Milagrosa,,Tango,Alberto Gómez,Víctor,78rpm,,,Santiago París,Lito Bayardo,,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Orquesta Típica Porteña,1931-04-28,Cola E' Paja,,Tango,Roberto Díaz,Víctor,78rpm,,,Vicente Gorrese,Vicente Gorrese,,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Orquesta Típica Porteña,1931-06-05,Esta Noche He de Cantar,,Tango,Martín Correa,Víctor,78rpm,,,"Niels Paulos, Luis Rubistein","Niels Paulos, Luis Rubistein",,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Adolfo Carabelli Jazz Band,1931-06-15,Recordar,,Vals,Carlos Lafuente,Víctor,78rpm,60830-1,37004-A,"Charles Borel, Clerc, Saint Granier","Charles Borel, Clerc, Saint Granier",,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
Adolfo Carabelli,Orquesta Típica Porteña,1931-07-06,Noches Porteñas,,Tango,Pedro Moreno,Víctor,78rpm,,,Juan Canaro,Jesús Blanco,,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins",,
