Group,Artist,Title,Singer,Genre,Recording Date
1,D'Arienzo,El Flete,Instrumental,Tango,1936-04-03
1,D'Arienzo,Lorenzo,Instrumental,Tango,1936-05-08
1,D'Arienzo,Retintín,Instrumental,Tango,1936-01-31
1,D'Arienzo,La Payanca,Instrumental,Tango,1936-06-09
1,D'Arienzo,Ataniche,Instrumental,Tango,1936-11-27
1,D'Arienzo,El Irresistible,Instrumental,Tango,1936-08-05
1,D'Arienzo,Rawson,Instrumental,Tango,1936-09-03
1,D'Arienzo,Comme Il Faut,Instrumental,Tango,1936-10-27
2,D'Arienzo,Pensalo Bien,Echague,Tango,1938-06-22
2,D'Arienzo,Indiferencia,Echague,Tango,1938-01-04
2,D'Arienzo,Trago Amargo,Echague,Tango,1939-12-22
2,D'Arienzo,No Mientas,Echague,Tango,1938-12-28
2,D'Arienzo,La Bruja,Echague,Tango,1938-08-26
2,D'Arienzo,Nada Más,Echague,Tango,1938-07-08
2,D'Arienzo,Mandria,Echague,Tango,1939-08-09
2,D'Arienzo,Que Dios Te Ayude,Echague,Tango,1939-11-14
3,D'Arienzo,Dime Mi Amor,Maure,Tango,1941-05-25
3,D'Arienzo,Amarras,Maure,Tango,1944-07-21
3,D'Arienzo,Uno,Maure,Tango,1943-11-23
3,D'Arienzo,Compadrón,Maure,Tango,1942-12-22
3,D'Arienzo,Humillación,Maure,Tango,1941-07-14
3,D'Arienzo,Tango Brujo,Maure,Tango,1943-07-13
3,D'Arienzo,Lilián,Maure,Tango,1944-05-17
3,D'Arienzo,Ya Lo Ves,Maure,Tango,1941-04-28
4,D'Arienzo,La Cumparsita,Instrumental,Tango,1951-09-12
4,D'Arienzo,El Puntazo,Instrumental,Tango,1952-08-13
4,D'Arienzo,Canaro En Paris,Instrumental,Tango,1950-05-05
4,D'Arienzo,Pampa,Instrumental,Tango,1951-09-14
4,D'Arienzo,Yapeyú,Instrumental,Tango,1951-12-27
4,D'Arienzo,Florida,Instrumental,Tango,1952-11-12
4,D'Arienzo,El Simpático,Instrumental,Tango,1951-12-19
4,D'Arienzo,Don Juan,Instrumental,Tango,1950-12-28
