Group,Artist,Title,Singer,Genre,Recording Date
1,D'Arienzo,La Puñalada,Instrumental,Milonga,1937-04-27
1,D'Arienzo,Milonga Vieja Milonga,Instrumental,Milonga,1937-09-22
1,D'Arienzo,De Pura Cepa,Instrumental,Milonga,1935-11-18
1,D'Arienzo,El Esquinazo,Instrumental,Milonga,1938-01-04
2,D'Arienzo,De Antaño,Echague,Milonga,1939-09-27
2,D'Arienzo,Milonga del Recuerdo,Echague,Milonga,1939-07-17
2,D'Arienzo,Milonga del Corazón,Echague,Milonga,1938-05-06
2,D'Arienzo,El Temblor,Echague,Milonga,1938-06-08
2,D'Arienzo,La Cicatriz,Echague,Milonga,1939-10-31
3,Pedro Laurenz,Milonga Compadre,Cosas,Milonga,1938-05-12
3,Pedro Laurenz,La Vida es una Milonga,Podesta,Milonga,1941-09-05
3,Pedro Laurenz,Maldonado,Podesta,Milonga,1943-12-09
3,Pedro Laurenz,Yo Soy de San Telmo,Podesta,Milonga,1943-11-16
3,Pedro Laurenz,Milonga de Mis Amores,Instrumental,Milonga,1944-01-14
4,Pedro Laurenz,Abandono,Farrel,Tango,1937-09-24
4,Pedro Laurenz,Amurado,Casas,Tango,1940-07-29
4,Pedro Laurenz,Arrabal,Instrumental,Tango,1937-09-24
4,Pedro Laurenz,De Puro Guapo,Casas,Tango,1940-01-25
4,Pedro Laurenz,Desconsuelo,Casas,Tango,1940-02-21
4,Pedro Laurenz,No Me Extraña,Casas,Tango,1940-01-25
4,Pedro Laurenz,Vieja Amiga,Casas,Tango,1938-05-12
5,Pedro Laurenz,Alma de Bohemio,Podesta,Tango,1943-07-15
5,Pedro Laurenz,Garúa,Podesta,Tango,1943-08-06
5,Pedro Laurenz,Que Nunca me Falte,Podesta,Tango,1943-09-22
5,Pedro Laurenz,Recién,Podesta,Tango,1943-09-22
5,Pedro Laurenz,Todo,Podesta,Tango,1943-12-09
5,Pedro Laurenz,Como El Hornero,Podesta,Tango,1944-01-14
5,Pedro Laurenz,Muchachos Mi Último Tango,Podesta,Tango,1944-03-01
5,Pedro Laurenz,Yo Quiero Cantar Un Tango,Podesta,Tango,1943-11-16
6,Rodolfo Biagi,El 13,Instrumental,Tango,1938-11-15
6,Rodolfo Biagi,Unión Cívica,Instrumental,Tango,1938-10-17
6,Rodolfo Biagi,El Yaguarón,Instrumental,Tango,1940-06-19
6,Rodolfo Biagi,Re Fa Si,Instrumental,Tango,1940-12-26
6,Rodolfo Biagi,Bélgica,Instrumental,Tango,1942-01-20
6,Rodolfo Biagi,El Incendio,Instrumental,Tango,1938-08-15
6,Rodolfo Biagi,El Rápido,Instrumental,Tango,1939-09-18
6,Rodolfo Biagi,El Entrerriano,Instrumental,Tango,1941-01-14
7,Rodolfo Biagi,Dichas Que Viví,Falgas,Vals,1939-07-13
7,Rodolfo Biagi,Déjame Amarte Aunque Sea Un Día,Falgas,Vals,1939-09-22
7,Rodolfo Biagi,Viejo Portón,Ibanez,Vals,1938-10-17
7,Rodolfo Biagi,Lágrimas Y Sonrisas,Instrumental,Vals,1941-03-26
7,Rodolfo Biagi,Cuatro Palabras,Ortiz,Vals,1941-07-29
7,Rodolfo Biagi,Por Un Beso de Amor,Ortiz,Vals,1940-10-04
7,Rodolfo Biagi,Lejos de Ti,Ibanez,Vals,1938-12-02
7,Rodolfo Biagi,Loca de Amor,Ibanez,Vals,1938-11-15
8,Alfredo De Angelis,Soñar y Nada Más,Dante Y Martel,Vals,1944-08-29
8,Alfredo De Angelis,Mi Novia de Ayer,Ruiz,Vals,1944-04-28
8,Alfredo De Angelis,Para Ti Madre,Dante,Vals,1948-07-23
8,Alfredo De Angelis,A Magaldi,Dante Y Martel,Vals,1947-10-21
8,Alfredo De Angelis,Mi Cariñito,Dante Y Martel,Vals,1949-05-12
8,Alfredo De Angelis,Flores de Alma,Dante Y Martel,Vals,1947-07-03
8,Alfredo De Angelis,Pobre Flor,Dante Y Martel,Vals,1946-01-07
8,Alfredo De Angelis,Ilusión Azul,Dante,Vals,1945-06-08
9,Miguel Calo,Al Compás Del Corazón,Beron,Tango,1942-04-29
9,Miguel Calo,Cuatro Compases,Beron,Tango,1942-12-01
9,Miguel Calo,Tristezas de La Calle Corrientes,Beron,Tango,1942-09-02
9,Miguel Calo,Qué Te Importa Que Te Llore,Beron,Tango,1942-06-30
9,Miguel Calo,Tarareando,Beron,Tango,1942-07-29
9,Miguel Calo,Jamás Retornarás,Beron,Tango,1942-10-09
9,Miguel Calo,Lejos de Buenos Aires,Beron,Tango,1942-07-29
9,Miguel Calo,En Tus Ojos de Cielo,Beron,Tango,1944-07-10
10,Miguel Calo,Es En Vano Llorar,Iriarte,Tango,1943-05-17
10,Miguel Calo,Si Yo Pudiera Comprender,Iriarte,Tango,1944-01-28
10,Miguel Calo,Gime El Viento,Iriarte,Tango,1943-11-29
10,Miguel Calo,Verdemar,Iriarte,Tango,1943-09-28
10,Miguel Calo,Madalit,Iriarte,Tango,1944-11-07
10,Miguel Calo,Lluvia de Abril,Iriarte,Tango,1945-02-20
10,Miguel Calo,Nada,Iriarte,Tango,1944-03-09
10,Miguel Calo,La Vi Llegar,Iriarte,Tango,1944-04-19
11,Miguel Calo,Me Duele El Corazón,Iriarte,Vals,1944-11-07
11,Miguel Calo,Pedacito de Cielo,Podesta,Vals,1942-09-02
11,Miguel Calo,Bajo Un Cielo de Estrellas,Podesta,Vals,1941-03-12
11,Miguel Calo,El Vals Soñador,Beron,Vals,1942-04-29
11,Miguel Calo,Jugando Jugando,Beron,Vals,1944-08-28
11,Miguel Calo,El Mismo Dolor,Iriarte,Vals,1945-11-15
12,Ricardo Tanturi,La Vida Es Corta,Castillo,Tango,1941-02-19
12,Ricardo Tanturi,Esta Noche Me Emborracho,Castillo,Tango,1942-08-14
12,Ricardo Tanturi,Madame Ivonne,Castillo,Tango,1942-03-18
12,Ricardo Tanturi,Recuerdo Malevo,Castillo,Tango,1941-12-23
12,Ricardo Tanturi,Así Se Baila El Tango,Castillo,Tango,1942-12-04
12,Ricardo Tanturi,Noches de Colón,Castillo,Tango,1941-08-14
12,Ricardo Tanturi,Ese Sos Vos,Castillo,Tango,1941-12-23
12,Ricardo Tanturi,La Copa Del Olvido,Castillo,Tango,1942-07-20
12,Ricardo Tanturi,El Tango Es El Tango,Castillo,Tango,1942-08-14
12,Ricardo Tanturi,La Última Copa,Castillo,Tango,1943-04-29
12,Ricardo Tanturi,Pocas Palabras,Castillo,Tango,1941-06-16
12,Ricardo Tanturi,Cómo Se Pianta La Vida,Castillo,Tango,1942-09-15
13,Edgardo Donato,La Melodía Del Corazón,Gavioli,Tango,1940-04-30
13,Edgardo Donato,Mi Serenata,Morales - Gavioli,Tango,1940-01-11
13,Edgardo Donato,Carnaval de mi Barrio,Morales - Lagos,Tango,1939-03-27
13,Edgardo Donato,Sinfonía de Arrabal,Morales - Gavioli,Tango,1940-04-05
13,Edgardo Donato,Sinsabor,Morales - Lagos,Tango,1939-06-05
13,Edgardo Donato,Yo Te Amo,Morales - Gavioli,Tango,1940-09-30
13,Edgardo Donato,Alas Rotas,Lagos,Tango,1938-12-09
13,Edgardo Donato,El Adiós,Lagos,Tango,1938-04-02
14,Edgardo Donato,Ella Es Así,Lagos,Milonga,1938-10-10
14,Edgardo Donato,Sacale Punta,Lagos,Milonga,1938-03-09
14,Edgardo Donato,La Milonga Que Faltaba,Lagos,Milonga,1938-02-05
14,Edgardo Donato,El Torito,Instrumental,Milonga,1939-11-14
14,Edgardo Donato,El Lengue,Instrumental,Milonga,1940-12-13
14,Edgardo Donato,Repique Del Corazón,Instrumental,Milonga,1941-02-18
15,Edgardo Donato,La Tapera,Gutiérrez,Vals,1936-03-10
15,Edgardo Donato,Con Tus Besos,Lagos,Vals,1938-04-02
15,Edgardo Donato,Quién Será,Lagos,Vals,1941-10-13
15,Edgardo Donato,Estrellita Mía,Lagos,Vals,1940-09-30
15,Edgardo Donato,La Shunca,Gavioli,Vals,1941-01-21
16,Carlos Di Sarli,Zorzal,Rufino,Milonga,1941-12-03
16,Carlos Di Sarli,La Mulateada,Rufino,Milonga,1941-11-20
16,Carlos Di Sarli,Pena Mulata,Rufino,Milonga,1941-02-18
16,Carlos Di Sarli,Rosa Morena,Rufino,Milonga,1942-05-26
16,Carlos Di Sarli,Cuando Un Viejo Se Enamora,Rufino,Milonga,1942-07-29
16,Carlos Di Sarli,Yo Soy de San Telmo,Rufino,Milonga,1943-10-07
17,Francisco Canaro,Silueta Porteña,Maida,Milonga,1936-07-17
17,Francisco Canaro,Milonga Criolla,Maida,Milonga,1936-10-06
17,Francisco Canaro,Milonga de Mis Amores,Instrumental,Milonga,1937-05-26
17,Francisco Canaro,Reliquias Porteñas,Instrumental,Milonga,1938-07-14
17,Francisco Canaro,Milonga del Corazón,Maida,Milonga,1938-03-03
17,Francisco Canaro,Milongón,Instrumental,Milonga,1938-06-20
18,Francisco Canaro,Mala Suerte,Fama,Tango,1939-02-27
18,Francisco Canaro,Tormenta,Fama,Tango,1939-03-28
18,Francisco Canaro,El Vino Triste,Fama,Tango,1939-10-25
18,Francisco Canaro,Todo te Nombra,Fama,Tango,1939-10-09
18,Francisco Canaro,No me Pregunten Por Qué,Fama,Tango,1939-10-25
18,Francisco Canaro,A Quién le Puede Importar,Fama,Tango,1940-01-26
18,Francisco Canaro,Pájaro Ciego,Fama,Tango,1940-05-22
19,Osvaldo Fresedo,Vida Mía,Ray,Tango,1933-09-13
19,Osvaldo Fresedo,Siempre es Carnaval,Ray,Tango,1937-02-22
19,Osvaldo Fresedo,Sueño Azul,Ray,Tango,1937-04-01
19,Osvaldo Fresedo,Telón,Ray,Tango,1938-11-23
19,Osvaldo Fresedo,Cordobesita,Ray,Tango,1933-08-02
19,Osvaldo Fresedo,Sollozos,Ray,Tango,1937-02-22
19,Osvaldo Fresedo,En La Huella Del Dolor,Ray,Tango,1934-04-27
19,Osvaldo Fresedo,Canto de Amor,Ray,Tango,1934-06-18
20,Osvaldo Fresedo,Un Amor,Ruiz,Tango,1940-09-13
20,Osvaldo Fresedo,No Preciso,Ruiz,Tango,1941-11-17
20,Osvaldo Fresedo,Vida Querida,Ruiz,Tango,1939-11-23
20,Osvaldo Fresedo,Buscándote,Ruiz,Tango,1941-12-31
20,Osvaldo Fresedo,Cuartito Azul,Ruiz,Tango,1939-10-13
20,Osvaldo Fresedo,Más Allá,Ruiz,Tango,1939-07-12
20,Osvaldo Fresedo,En Este Rincón Amigo,Ruiz,Tango,1941-01-13
20,Osvaldo Fresedo,Rosarina Linda,Ruiz,Tango,1940-04-15
