Group,Artist,Title,Singer,Genre,Recording Date
1,Rodolfo Biagi,Campo Afuera,Teófilo Ibáñez,Milonga,1939-04-27
1,Rodolfo Biagi,Cantando se van las penas,Jorge Ortiz,Milonga,1940-06-28
1,Rodolfo Biagi,Flor de Monserrat,Alberto Amor,Milonga,1945-11-30
1,Rodolfo Biagi,Por la Güeya,Carlos Saavedra,Milonga,1948-07-22
1,Rodolfo Biagi,Soy del 90,Carlos Acuña,Milonga,1943-07-08
1,Rodolfo Biagi,Con Mi Perro,Amor Alberto,Milonga,1946-07-10
1,Rodolfo Biagi,Picante,Instrumental,Milonga,1941-10-21
2,Aníbal Troilo,Valsecito Amigo,Francisco Fiorentino,Vals,1943-03-25
2,Aníbal Troilo,Palomita Blanca,Marion y Ruiz,Vals,1944-11-23
2,Aníbal Troilo,Temblando,Francisco Fiorentino,Vals,1944-03-30
2,Aníbal Troilo,Flor De Lino,Roberto Ruiz,Vals,1947-04-29
2,Aníbal Troilo,Romance De Barrio,Roberto Ruiz,Vals,1947-08-19
2,Aníbal Troilo,Lagrimitas De Mi Corazón,Ruiz y Rivero,Vals,1948-07-08
2,Aníbal Troilo,Pedacito De Cielo,Francisco Fiorentino,Vals,1942-09-10
2,Aníbal Troilo,Soñar Y Nada Más,Fiorentino y Mandarino,Vals,1943-08-04
3,Lucio Demare,Se Fue,Berón,Vals,1943-07-13
3,Lucio Demare,Dos Corazones,Quintana,Vals,1944-09-25
3,Lucio Demare,Nunca Supe Porque,Miranda,Vals,1942-07-20
3,Lucio Demare,No Nos Veremos Más,Berón,Vals,1943-02-11
3,Lucio Demare,Al Pasar,Berón,Vals,1943-09-03
4,Enrique Rodríguez,Tengo mil novias,Roberto Flores,Vals,1939-10-10
4,Enrique Rodríguez,Por aquí... por alla,Armando Moreno,Vals,1940-06-04
4,Enrique Rodríguez,Isabelita,Armando Moreno,Vals,1940-08-14
4,Enrique Rodríguez,Con tu mirar,Armando Moreno,Vals,1941-09-24
4,Enrique Rodríguez,La Piconeros,Roberto Flores,Vals,1939-02-01
4,Enrique Rodríguez,Mañana Por la Mañana,Ricardo Herrera,Vals,1947-01-17
4,Enrique Rodríguez,Fru Fru,Roberto Flores,Vals,1939-06-05
5,Juan D'Arienzo,Desde el Alma,Instrumental,Vals,1935-07-02
5,Juan D'Arienzo,Pabellón De Las Rosas,Instrumental,Vals,1935-12-12
5,Juan D'Arienzo,Francia,Instrumental,Vals,1935-10-03
5,Juan D'Arienzo,Inolvidable,Instrumental,Vals,1936-08-05
5,Juan D'Arienzo,Corazón de Artista,Instrumental,Vals,1936-11-27
5,Juan D'Arienzo,Amor y Celo,Instrumental,Vals,1936-09-03
5,Juan D'Arienzo,Valsecito Criollo,Instrumental,Vals,1937-07-26
5,Juan D'Arienzo,Pasión,Instrumental,Vals,1937-07-02
5,Juan D'Arienzo,Alma Dolorida,Instrumental,Vals,1937-03-05
6,Ricardo Tanturi,Muchachos Comienza la Ronda,Enrique Campos,Tango,1943-08-06
6,Ricardo Tanturi,Una Emoción,Enrique Campos,Tango,1943-11-17
6,Ricardo Tanturi,Que Nunca Me Falte,Enrique Campos,Tango,1943-11-17
6,Ricardo Tanturi,Malvón,Enrique Campos,Tango,1943-11-17
6,Ricardo Tanturi,Recién,Enrique Campos,Tango,1944-03-24
6,Ricardo Tanturi,Cantor de Barrio,Enrique Campos,Tango,1945-07-13
6,Ricardo Tanturi,Ivón,Enrique Campos,Tango,1945-09-05
6,Ricardo Tanturi,Oigo tu voz,Enrique Campos,Tango,1943-11-17
6,Ricardo Tanturi,Igual que un bandoneón,Enrique Campos,Tango,1944-12-13
6,Ricardo Tanturi,Sollozo de bandoneón,Enrique Campos,Tango,1943-12-16
7,Angel D'Agostino,Adiós Arrabal,Angel Vargas,Tango,1941-09-09
7,Angel D'Agostino,Agua Florida,Angel Vargas,Tango,1941-11-13
7,Angel D'Agostino,Ahora No Me Conocés,Angel Vargas,Tango,1941-09-09
7,Angel D'Agostino,El Yacaré,Angel Vargas,Tango,1941-12-12
7,Angel D'Agostino,Tres Esquinas,Angel Vargas,Tango,1941-07-24
7,Angel D'Agostino,Una Pena,Angel Vargas,Tango,1941-11-05
7,Angel D'Agostino,Adiós Para Siempre,Angel Vargas,Tango,1942-03-16
7,Angel D'Agostino,Barrio De Tango,Angel Vargas,Tango,1942-03-16
7,Angel D'Agostino,Pero Yo Sé,Angel Vargas,Tango,1942-09-02
8,Angel D'Agostino,Me Llaman Tango,Angel Vargas,Tango,1943-04-30
8,Angel D'Agostino,Un Tango Argentino,Angel Vargas,Tango,1943-09-03
8,Angel D'Agostino,Madreselva,Angel Vargas,Tango,1944-12-05
8,Angel D'Agostino,Mano Blanca,Angel Vargas,Tango,1944-03-09
8,Angel D'Agostino,Mi Viejo Barrio,Angel Vargas,Tango,1944-08-08
8,Angel D'Agostino,Rondando Tu Esquina,Angel Vargas,Tango,1945-11-02
8,Angel D'Agostino,A Quién Le Puede Importar,Angel Vargas,Tango,1945-08-07
8,Angel D'Agostino,No Vendrá,Angel Vargas,Tango,1945-11-02
9,Alfredo De Angelis,Marioneta,Ruiz,Tango,1943-07-23
9,Alfredo De Angelis,Bajo el Cono Azul,Ruiz y Rodi,Tango,1944-02-29
9,Alfredo De Angelis,Dejame Así,Ruiz,Tango,1943-08-10
9,Alfredo De Angelis,Remolino,Dante y Martel,Tango,1946-05-24
9,Alfredo De Angelis,Pregonera,Dante y Martel,Tango,1945-03-26
9,Alfredo De Angelis,Adiós Marinero,Dante y Martel,Tango,1946-12-27
9,Alfredo De Angelis,Fumando Espero,Dante,Tango,1956-04-03
9,Alfredo De Angelis,Bajo Belgrano,Martel,Tango,1949-04-20
10,Carlos Di Sarli,Milonguero Viejo,Instrumental,Tango,1944-07-11
10,Carlos Di Sarli,A la Gran Muñeca,Instrumental,Tango,1945-08-29
10,Carlos Di Sarli,El Ingeniero,Instrumental,Tango,1945-02-20
10,Carlos Di Sarli,Champagne Tango,Instrumental,Tango,1944-07-20
10,Carlos Di Sarli,Rodríguez Peña,Instrumental,Tango,1945-01-03
10,Carlos Di Sarli,Organito De La Tarde,Instrumental,Tango,1942-11-30
10,Carlos Di Sarli,El Amanecer,Instrumental,Tango,1942-06-23
10,Carlos Di Sarli,El Jagüel,Instrumental,Tango,1943-11-04
10,Carlos Di Sarli,Ensueños,Instrumental,Tango,1943-09-07
10,Carlos Di Sarli,Nueve Puntos,Instrumental,Tango,1943-05-05
11,Juan D'Arienzo,Ansiedad,Echague,Tango,1938-11-09
11,Juan D'Arienzo,Qué Importa,Echague,Tango,1939-09-27
11,Juan D'Arienzo,El Vino Triste,Echague,Tango,1939-09-01
11,Juan D'Arienzo,Santa Milonguita,Echague,Tango,1939-09-27
11,Juan D'Arienzo,Olvídame,Echague,Tango,1939-05-30
12,Juan D'Arienzo,Magdala,Laborde,Tango,1944-12-26
12,Juan D'Arienzo,Aparcero,Laborde,Tango,1945-04-17
12,Juan D'Arienzo,Yo No Sé Llorar,Laborde,Tango,1946-12-06
12,Juan D'Arienzo,Desde Aquella Noche,Laborde,Tango,1946-08-26
12,Juan D'Arienzo,Dios Te Salve M' Hijo,Laborde,Tango,1947-09-17
12,Juan D'Arienzo,Pampa y Huella,Laborde,Tango,1948-09-23
12,Juan D'Arienzo,Pregonera,Laborde,Tango,1945-08-28
13,Francisco Canaro,Ciego,Maida,Tango,1935-03-25
13,Francisco Canaro,Alma del Bandoneón,Maida,Tango,1935-03-20
13,Francisco Canaro,De Puro Guapo,Maida,Tango,1935-07-24
13,Francisco Canaro,Poema,Maida,Tango,1935-06-11
13,Francisco Canaro,Hotel Victoria,Maida,Tango,1935-06-18
13,Francisco Canaro,Casas Viejas,Maida,Tango,1935-08-18
13,Francisco Canaro,Dónde,Maida,Tango,1935-12-03
13,Francisco Canaro,Soledad,Maida,Tango,1935-03-25
14,Francisco Canaro,Quiero Verte Una Vez Más,Maida,Tango,1939-04-13
14,Francisco Canaro,Mano A Mano,Maida,Tango,1938-12-13
14,Francisco Canaro,Madreselva,Maida,Tango,1938-11-18
14,Francisco Canaro,El Adiós,Maida,Tango,1938-03-03
14,Francisco Canaro,Nada Más,Maida,Tango,1938-08-22
14,Francisco Canaro,Paciencia,Maida,Tango,1938-03-03
14,Francisco Canaro,El Caburé,Maida,Tango,1936-04-13
14,Francisco Canaro,La Maleva,Maida,Tango,1938-07-14
15,Lucio Demare,Moneda De Cobre,Beron,Tango,1943-04-01
15,Lucio Demare,Canta Pajarito,Beron,Tango,1943-06-10
15,Lucio Demare,Oigo Tu Voz,Beron,Tango,1943-11-25
15,Lucio Demare,Y Siempre Igual,Beron,Tango,1943-09-13
15,Lucio Demare,Qué Solo Estoy,Beron,Tango,1943-12-21
15,Lucio Demare,Soy Del Noventa,Beron,Tango,1943-05-06
15,Lucio Demare,Tal Vez Será Mí Alcohol,Beron,Tango,1943-05-06
15,Lucio Demare,Una Emoción,Beron,Tango,1943-09-03
16,Ricardo Malerba,Gitana Rusa,Medina,Tango,1942-10-05
16,Ricardo Malerba,La Piba de los Jazmines,Medina,Tango,1943-01-18
16,Ricardo Malerba,Embrujamiento,Medina,Tango,1943-02-12
16,Ricardo Malerba,Remembranza,Medina,Tango,1943-02-12
16,Ricardo Malerba,Sollozos,Medina,Tango,1944-03-16
16,Ricardo Malerba,Ninguna,Medina,Tango,1942-11-19
16,Ricardo Malerba,Mi Taza de Café,Medina,Tango,1943-11-08
16,Ricardo Malerba,Oiga Mozo,Medina,Tango,1942-11-19
17,Adolfo Carabelli,Felicia,Instrumental,Tango,1932-06-24
17,Adolfo Carabelli,Mentíra,Carlos Lafuente,Tango,1931-10-02
17,Adolfo Carabelli,El Pensamiento,Carlos Lafuente,Tango,1932-12-21
17,Adolfo Carabelli,El Caburé,Instrumental,Tango,1932-10-28
17,Adolfo Carabelli,La Guiñada,Instrumental,Tango,1932-10-28
17,Adolfo Carabelli,Mía,Carlos Lafuente,Tango,1933-04-11
17,Adolfo Carabelli,Pa' Qué Lagrimear,Carlos Lafuente,Tango,1933-09-12
18,Adolfo Carabelli,Alma,Alberto Gómez,Tango,1932-09-09
18,Adolfo Carabelli,Porque,Alberto Gómez,Tango,1931-11-02
18,Adolfo Carabelli,El Trece,Alberto Gómez,Tango,1932-09-27
18,Adolfo Carabelli,Tango del Querer,Alberto Gómez,Tango,1932-02-05
18,Adolfo Carabelli,Inspiración,Alberto Gómez,Tango,1932-06-17
18,Adolfo Carabelli,Cantando,Gomez y Simone,Tango,1931-09-04
18,Adolfo Carabelli,Mi Refugio,Alberto Gómez,Tango,1931-09-04
