Group,Artist,Title,Singer,Genre,Recording Date
1,Rodolfo Biagi,Duerme Mi Niña,Carlos Almagro,Tango,1962
1,Rodolfo Biagi,Santa Milonguita,Hugo Duval,Tango,1955-04-11
1,Rodolfo Biagi,Mi Vida en tus Manos,Hugo Duval,Tango,1957-01-09
1,Rodolfo Biagi,Todo es Amor,Hugo Duval,Tango,1958-11-12
1,Rodolfo Biagi,En el Lago Azul,Hugo Duval,Tango,1959-03-06
1,Rodolfo Biagi,Amor Mio,Hugo Duval,Tango,1958-11-12
1,Rodolfo Biagi,Soñemos,Hugo Duval,Tango,1957-01-09
1,Rodolfo Biagi,Sangre de Mi Sangre,Hugo Duval,Tango,1954-06-29
1,Rodolfo Biagi,Cielito Mío,Instrumental,Tango,1954-06-29
2,Aníbal Troilo,Melancólico,Instrumental,Tango,1961-08-18
2,Aníbal Troilo,La Bordona,Instrumental,Tango,1962-01-09
2,Aníbal Troilo,A Mis Viejos,Instrumental,Tango,1963-04-09
2,Aníbal Troilo,Recuerdo,Instrumental,Tango,1967-08-10
2,Aníbal Troilo,Danzarín,Instrumental,Tango,1963-04-17
2,Aníbal Troilo,Lo Que Vendrá,Instrumental,Tango,1963-04-05
2,Aníbal Troilo,La Cumparsita,Instrumental,Tango,1963-04-09
3,Aníbal Troilo,Quién Lo Habría De Pensar,Roberto Rufino,Tango,1963-05-14
3,Aníbal Troilo,Mensaje,Roberto Rufino,Tango,1965-01-04
3,Aníbal Troilo,María,Roberto Rufino,Tango,1963-05-07
3,Aníbal Troilo,Ninguna,Roberto Rufino,Tango,1963-04-24
3,Aníbal Troilo,Desencuentro,Roberto Rufino,Tango,1963-06-05
3,Aníbal Troilo,Frente Al Mar,Roberto Rufino,Tango,1963-04-23
4,Osvaldo Pugliese,A Evaristo Carriego,Instrumental,Tango,1969-07
4,Osvaldo Pugliese,El Marne,Instrumental,Tango,1969-06
4,Osvaldo Pugliese,Zum,Instrumental,Tango,1973-12-12
4,Osvaldo Pugliese,La Mariposa,Instrumental,Tango,1966-04
4,Osvaldo Pugliese,Cardo Y Malvón,Instrumental,Tango,1962-06
4,Osvaldo Pugliese,Don Agustín Bardi,Instrumental,Tango,1961-08
4,Osvaldo Pugliese,Locura Tanguera,Instrumental,Tango,1966-10
4,Osvaldo Pugliese,Verano Porteño,Instrumental,Tango,1966-05
5,Osvaldo Pugliese,A los Amigos,Instrumental,Tango,1960-07-15
5,Osvaldo Pugliese,Emancipación,Instrumental,Tango,1955-09-02
5,Osvaldo Pugliese,Entrador,Instrumental,Tango,1952-05-06
5,Osvaldo Pugliese,La Cachila,Instrumental,Tango,1952-11-24
5,Osvaldo Pugliese,N.N.,Instrumental,Tango,1952-11-13
5,Osvaldo Pugliese,Nochero Soy,Instrumental,Tango,1956-11-28
5,Osvaldo Pugliese,Si Sos Brujo,Instrumental,Tango,1952-10-09
5,Osvaldo Pugliese,Yunta de Oro,Instrumental,Tango,1957-10-25
6,Osvaldo Pugliese,El Abrojito,Morán,Tango,1945-07-24
6,Osvaldo Pugliese,Pasional,Morán,Tango,1952-11-24
6,Osvaldo Pugliese,Por Qué,Morán,Tango,1945-08-28
6,Osvaldo Pugliese,Sin Palabras,Morán,Tango,1947-01-02
6,Osvaldo Pugliese,Una Vez,Morán,Tango,1946-11-08
6,Osvaldo Pugliese,Yuyo Verde,Morán,Tango,1945-01-25
6,Osvaldo Pugliese,Cafetín,Morán,Tango,1947-03-27
6,Osvaldo Pugliese,Demasiado Tarde,Morán,Tango,1946-02-27
6,Osvaldo Pugliese,El Abrojito,Morán,Tango,1945-07-24
6,Osvaldo Pugliese,Mentira,Morán,Tango,1945-09-24
7,Alfredo Gobbi,Si Sos Brujo,Instrumental,Tango,1953-10-27
7,Alfredo Gobbi,Camandulaje,Instrumental,Tango,1955-06-13
7,Alfredo Gobbi,Historia de un Amor,Landó,Tango,1956-04-16
7,Alfredo Gobbi,Tu Angustia y Mi Dolor,Landó,Tango,1954-12-14
7,Alfredo Gobbi,Tuya,Landó y Del Rio,Tango,1956-07-16
7,Alfredo Gobbi,Canzoneta,Maciel,Tango,1954-06-22
7,Alfredo Gobbi,Fraternal,Instrumental,Tango,1954-08-26
7,Alfredo Gobbi,El Andariego,Instrumental,Tango,1951-06-27
7,Alfredo Gobbi,Entrador,Instrumental,Tango,1956-07-16
8,Héctor Varela,Fueron Tres Años,Ledesma,Tango,1956-05-18
8,Héctor Varela,Fumando Espero,Ledesma,Tango,1955-06-01
8,Héctor Varela,Historia De Un Amor,Lesica,Tango,1956-03-13
8,Héctor Varela,El Amanecer,Instrumental,Tango,1967-07-04
8,Héctor Varela,El Caburé,Instrumental,Tango,1966-10-23
8,Héctor Varela,El Marne,Instrumental,Tango,1967-05-09
8,Héctor Varela,El Pensamiento,Instrumental,Tango,1957-05-03
9,Florindo Sassone,Pescadores de Perlas,Instrumental,Tango,1974
9,Florindo Sassone,Ojos Negros,Instrumental,Tango,1974
9,Florindo Sassone,La Cumparsita,Instrumental,Tango,1973
9,Florindo Sassone,Orquídeas a la Luz de la Luna,Instrumental,Tango,1968-07-12
9,Florindo Sassone,Como Los Nardos En Flor,Instrumental,Tango,1963-11-21
9,Florindo Sassone,Lágrimas,Instrumental,Tango,1962-09-21
9,Florindo Sassone,Clavel Del Aire,Instrumental,Tango,1962-08-16
9,Florindo Sassone,Bar Exposición,Instrumental,Tango,1959-09-10
10,Fulvio Salamanca,"Adiós, Corazón",Guerrico,Tango,1957-11-29
10,Fulvio Salamanca,Bomboncito,Guerrico,Tango,1958-06-06
10,Fulvio Salamanca,Hasta Siempre Amor,Guerrico,Tango,1959-07-17
10,Fulvio Salamanca,La Rayuela,Instrumental,Tango,1959-07-17
10,Fulvio Salamanca,Mano Cruel,Guerrico y Garre,Tango,1957-08-14
10,Fulvio Salamanca,Todo Es Amor,Guerrico,Tango,1958-09-18
10,Fulvio Salamanca,Vuelve Amor,Guerrico,Tango,1959-04-16
10,Fulvio Salamanca,Yo Tengo un Pecado Nuevo,Guerrico,Tango,1958-04-10
11,Domingo Federico,Canto,Hugo Roca,Tango,1950-03-23
11,Domingo Federico,Yo,Carlos Vidal,Tango,1945-04-20
11,Domingo Federico,Al Compás del Corazón,Carlos Vidal,Tango,1947-11-14
11,Domingo Federico,Corazón Encadenado,Armando Moreno,Tango,1955-01-20
11,Domingo Federico,Con el Mayor Gusto,Instrumental,Tango,1949-10-14
11,Domingo Federico,Cualquier Cosa,Enzo Valentino,Tango,1951-04-10
11,Domingo Federico,El Marajá,Instrumental,Tango,1951-08-03
11,Domingo Federico,Muy Suave,Instrumental,Tango,1954-04-07
11,Domingo Federico,Presentación,Instrumental,Tango,1960-01-12
11,Domingo Federico,Y Todavía Te Quiero,Armando Moreno,Tango,1956-06-29
12,Miguel Caló,Sans Souci,Instrumental,Tango,1964-04-14
12,Miguel Caló,Uno,Instrumental,Tango,1965-09-02
12,Miguel Caló,Para Osmar Maderna,Instrumental,Tango,1963-05-24
12,Miguel Caló,Porteñísimo,Instrumental,Tango,1967-06-12
13,Hugo Diaz,Malena,Instrumental,Tango,1972
13,Hugo Diaz,Volver,Instrumental,Tango,1975
13,Hugo Diaz,Cuesta Abajo,Instrumental,Tango,1975
13,Hugo Diaz,Mano a Mano,Instrumental,Tango,1975
13,Hugo Diaz,Melodía de Arrabal,Instrumental,Tango,1975
14,Hugo Diaz,Milonga Triste,Instrumental,Milonga,1972
14,Hugo Diaz,El Llorón,Instrumental,Milonga,1972
14,Hugo Diaz,Milonga Para una Armónica,Instrumental,Milonga,1974
14,Craig Einhorn,Milonguea Del Ayer,Instrumental,Milonga,2005
14,Trio Garufa,Silueta Portena,Instrumental,Milonga,2008
14,Trio Garufa,Milonga Uruguaya,Instrumental,Milonga,2012
15,Juan Villarreal,Buscándote,Juan Villarreal,Tango,2012-09-01
15,Juan Villarreal,Marión,Juan Villarreal,Tango,2012-09-01
